COD CIIU F.883,Sector,1º apertura,2º apertura,Año,Base Imponible (millones de pesos corrientes)
21,Manufactureros de alta tecnología,Industria farmacéutica,Industria farmacéutica,2011,"194,73021586"
21,Manufactureros de alta tecnología,Industria farmacéutica,Industria farmacéutica,2012,"238,40726227"
21,Manufactureros de alta tecnología,Industria farmacéutica,Industria farmacéutica,2013,"283,07741925"
21,Manufactureros de alta tecnología,Industria farmacéutica,Industria farmacéutica,2014,"386,06335942"
21,Manufactureros de alta tecnología,Industria farmacéutica,Industria farmacéutica,2015,"497,16985662"
261,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de componentes eléctricos,2011,"1,81351871"
261,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de componentes eléctricos,2012,"3,21964544"
261,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de componentes eléctricos,2013,"4,24891266"
261,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de componentes eléctricos,2014,"5,63220103"
261,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de componentes eléctricos,2015,"11,39734624"
262,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos y productos informáticos,2011,"264,00593865"
262,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos y productos informáticos,2012,"205,89794288"
262,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos y productos informáticos,2013,"215,32129112"
262,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos y productos informáticos,2014,"220,83800582"
262,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos y productos informáticos,2015,"304,53019647"
263,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos de comunicaciones y transmisores de radio y televisión,2011,"19,48356557"
263,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos de comunicaciones y transmisores de radio y televisión,2012,"20,25315618"
263,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos de comunicaciones y transmisores de radio y televisión,2013,"22,45488850"
263,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos de comunicaciones y transmisores de radio y televisión,2014,"27,04104877"
263,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipos de comunicaciones y transmisores de radio y televisión,2015,"35,63890245"
264,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción",2011,"0,00000000"
264,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción",2012,"0,00000000"
264,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción",2013,"0,00000000"
264,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción",2014,"0,00000000"
264,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción",2015,"0,00000000"
265,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de aparatos e instrumentos para medir, verificar, ensayar, navegar y otros fines",2011,"37,30285364"
265,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de aparatos e instrumentos para medir, verificar, ensayar, navegar y otros fines",2012,"40,95133159"
265,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de aparatos e instrumentos para medir, verificar, ensayar, navegar y otros fines",2013,"49,70629367"
265,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de aparatos e instrumentos para medir, verificar, ensayar, navegar y otros fines",2014,"70,69363545"
265,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos","Fabricación de aparatos e instrumentos para medir, verificar, ensayar, navegar y otros fines",2015,"107,18016374"
266,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,2011,"29,27132094"
266,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,2012,"32,18669212"
266,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,2013,"50,57200821"
266,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,2014,"68,72876180"
266,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,2015,"96,68851298"
267,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de instrumentos de óptica y equipo fotográfico,2011,"19,59142544"
267,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de instrumentos de óptica y equipo fotográfico,2012,"22,17246704"
267,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de instrumentos de óptica y equipo fotográfico,2013,"33,02160395"
267,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de instrumentos de óptica y equipo fotográfico,2014,"38,55928226"
267,Manufactureros de alta tecnología,"Fabricación de productos informáticos, electrónicos y ópticos",Fabricación de instrumentos de óptica y equipo fotográfico,2015,"55,91277218"
61,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Telecomunicaciones,Servicios de Telecomunicaciones,2011,"1873,63177045"
61,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Telecomunicaciones,Servicios de Telecomunicaciones,2012,"2196,44409467"
61,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Telecomunicaciones,Servicios de Telecomunicaciones,2013,"2730,70393127"
61,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Telecomunicaciones,Servicios de Telecomunicaciones,2014,"3188,82141064"
61,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Telecomunicaciones,Servicios de Telecomunicaciones,2015,"4107,98855921"
62,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Programación y Consultoría Informática y actividades conexas,Servicios de Programación y Consultoría Informática y actividades conexas,2011,"222,98820327"
62,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Programación y Consultoría Informática y actividades conexas,Servicios de Programación y Consultoría Informática y actividades conexas,2012,"314,90836935"
62,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Programación y Consultoría Informática y actividades conexas,Servicios de Programación y Consultoría Informática y actividades conexas,2013,"457,67842889"
62,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Programación y Consultoría Informática y actividades conexas,Servicios de Programación y Consultoría Informática y actividades conexas,2014,"480,42841945"
62,Servicios intensivos en conocimiento y de alta tecnología o de punta,Servicios de Programación y Consultoría Informática y actividades conexas,Servicios de Programación y Consultoría Informática y actividades conexas,2015,"647,66238631"
72,Servicios intensivos en conocimiento y de alta tecnología o de punta,Investigación y Desarrollo,Investigación y Desarrollo,2011,"7,53285676"
72,Servicios intensivos en conocimiento y de alta tecnología o de punta,Investigación y Desarrollo,Investigación y Desarrollo,2012,"12,24505600"
72,Servicios intensivos en conocimiento y de alta tecnología o de punta,Investigación y Desarrollo,Investigación y Desarrollo,2013,"13,92546180"
72,Servicios intensivos en conocimiento y de alta tecnología o de punta,Investigación y Desarrollo,Investigación y Desarrollo,2014,"23,49089787"
72,Servicios intensivos en conocimiento y de alta tecnología o de punta,Investigación y Desarrollo,Investigación y Desarrollo,2015,"48,63896767"
